ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
10351998,HY542777,12/19/2015 8:35,039XX S COTTAGE GROVE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,214,2,4,38,04A,2015,10/2/2018 15:50
10352301,HY543182,12/19/2015 8:30,007XX N WABASH AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1833,18,42,8,08B,2015,10/2/2018 15:50
10352484,HY543456,12/19/2015 8:30,101XX S CALUMET AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,511,5,9,49,26,2015,10/2/2018 15:50
10352460,HY543485,12/19/2015 8:30,077XX S CHRISTIANA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,835,8,18,70,08B,2015,10/2/2018 15:50
10352110,HY542770,12/19/2015 8:30,036XX W GRENSHAW ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,FALSE,TRUE,1133,11,24,29,04A,2015,10/2/2018 15:50
10351976,HY542766,12/19/2015 8:24,032XX N CENTRAL AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,FALSE,FALSE,1633,16,38,15,3,2015,10/2/2018 15:50
10352130,HY542963,12/19/2015 8:15,013XX S PRAIRIE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,132,1,2,33,11,2015,10/2/2018 15:50
10352952,HY544130,12/19/2015 8:07,056XX N KENNETH AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,FALSE,FALSE,1711,17,39,12,11,2015,10/2/2018 15:50
10351992,HY542800,12/19/2015 8:01,036XX S KEDZIE AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,911,9,12,58,24,2015,10/2/2018 15:50
10362947,HY554570,12/19/2015 8:00,002XX N COLUMBUS DR,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,114,1,42,32,6,2015,10/2/2018 15:50
10354068,HY545286,12/19/2015 8:00,060XX W WAVELAND AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,1633,16,38,17,26,2015,10/2/2018 15:50
10352042,HY542848,12/19/2015 8:00,042XX W GLADYS AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1132,11,28,26,5,2015,10/2/2018 15:50
10352113,HY542863,12/19/2015 8:00,037XX W DIVISION ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1112,11,27,23,14,2015,10/2/2018 15:50
10351995,HY542775,12/19/2015 8:00,011XX S MASON AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,1513,15,29,25,6,2015,10/2/2018 15:50
10352166,HY543043,12/19/2015 8:00,003XX N ORLEANS ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,1831,18,42,8,6,2015,10/2/2018 15:50
10355726,HY546663,12/19/2015 8:00,013XX W FARGO AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2422,24,49,1,6,2015,10/2/2018 15:50
10352985,HY544177,12/19/2015 8:00,012XX W WASHINGTON BLVD,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1224,12,27,28,6,2015,10/2/2018 15:50
10352289,HY543229,12/19/2015 8:00,076XX S SOUTH CHICAGO AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,FALSE,FALSE,411,4,5,43,11,2015,10/2/2018 15:50
10351969,HY542755,12/19/2015 7:52,009XX N RIDGEWAY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1112,11,27,23,18,2015,10/2/2018 15:50
10352201,HY543009,12/19/2015 7:30,050XX W SUNNYSIDE AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1623,16,45,15,6,2015,10/2/2018 15:50
10352119,HY542747,12/19/2015 7:30,059XX N RAVENSWOOD AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,2012,20,40,77,08A,2015,10/2/2018 15:50
10352454,HY543399,12/19/2015 7:30,024XX E 81ST ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,422,4,7,46,5,2015,10/2/2018 15:50
10352086,HY542740,12/19/2015 7:07,0000X N HAMLIN BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1122,11,28,26,14,2015,10/2/2018 15:50
10351964,HY542735,12/19/2015 7:05,043XX N PULASKI RD,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,GAS STATION,FALSE,FALSE,1723,17,39,16,3,2015,10/2/2018 15:50
10354373,HY544846,12/19/2015 7:05,014XX W BLACKHAWK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1433,14,32,24,14,2015,12/26/2015 15:53
10351968,HY542756,12/19/2015 7:00,007XX E 79TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,624,6,6,44,08B,2015,10/2/2018 15:50
10352426,HY543458,12/19/2015 7:00,077XX S COLES AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,421,4,7,43,6,2015,10/2/2018 15:50
10352867,HY544025,12/19/2015 7:00,048XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,223,2,4,39,6,2015,10/2/2018 15:50
10351974,HY542748,12/19/2015 6:45,062XX W 64TH PL,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,TRUE,FALSE,812,8,13,64,15,2015,10/2/2018 15:50
10352010,HY542726,12/19/2015 6:38,018XX E 93RD ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,413,4,8,48,08A,2015,10/2/2018 15:50
